token_id	token_text
75850	 సూ
76002	లలో
76069	 గ్రా
76077	ధి
76120	చ్చు
76386	 రె
76584	 యు
76758	యి
76803	టర్
76903	కున్న
77144	ర్య
77183	వేశ
77258	 ఉప
77393	జే
77398	ళ్ళ
77437	 ఎలా
77649	ర్వాత
77682	 ఆయన
77775	శ్
78330	్యూ
78559	లోని
78982	 భా
79073	కె
79111	 ప్రతి
79410	 తర్వాత
79438	స్య
79462	 ఇం
79680	 హీ
79886	 తి
79906	ష్ట్ర
80107	న్య
80210	కాల
80393	 కోసం
80462	లేదు
81135	 క్ర
81405	 హీరో
81682	ట్ల
81921	 క్
81989	 బ్యా
82148	 సో
82216	షి
82224	 బీ
82430	 మాత్ర
82445	 వరకు
82646	 నీ
83225	స్తున్నారు
83430	సుకోవ
83635	ొక్క
84126	 కల
84230	 యా
84365	 ఐ
84673	 దేశ
84806	 దా
84811	 పని
84973	ామ
85111	త్తు
85158	ెండు
85161	 దీని
85333	ందిన
85372	 అత
85459	డ్డి
85471	ధాన
85712	వె
85738	 తగ్
85895	ృష్
86069	 రాష్ట్ర
86225	ాలకు
86244	 సె
86291	 అలా
86315	 ది
86365	యోగ
86804	కం
86877	టన
87347	్రహ
87356	 అందు
87687	పె
87738	 పార్
87790	తే
87811	వ్వ
87852	ేవ
87860	 తమ
88006	 ఉంటుంది
88548	 చేస్త
88550	ైనా
89350	వరి
89545	ర్భ
89600	ుడు
89713	 తెలుగు
89746	 రై
89991	 రెండు
90031	 చేసుకు
90465	 హై
90540	రించి
90570	 అభి
90578	 తే
90630	ఎం
90845	లంగా
91111	తూ
91165	ీయ
91273	డిన
91427	 లక్ష
91471	గే
91554	 సంద
91915	 చేసే
92039	 ఇచ్చ
92378	ుల
92400	 కారణ
92708	 ఒక్క
92734	 ప్రాంత
92808	 పాత్ర
92905	 వర్
93080	 ఆధ
93398	 మై
93418	 ఆమె
93478	 యొక్క
93534	 ఉంట
93809	 జరిగ
93815	హి
94018	 కొన్ని
94067	 మంది
94083	త్మ
94157	త్తి
94248	వర
94330	సూరు
94371	కర
94377	 గుర్
94617	 వ్యా
94733	న్స్
94779	ల్లి
94780	 లేదా
94815	 తో
94881	 కానీ
94958	ినా
95006	ండో
95028	 హి
95305	తులు
95448	సులు
95736	 అంద
95892	 తెలిప
95930	ళ్లు
95978	బ్బ
95996	ద్ధి
96064	ట్లా
96406	 సంబంధ
96489	యంలో
97055	 పార్టీ
97164	ఆర్
97352	మ్‌
97410	 మంచి
97470	 మధ్య
97493	 మీరు
97808	 వారు
97817	 రూప
97835	 శ్రీ
97837	తీ
98172	 నెల
98343	భ్య
98561	ెంట్
98755	 దర్శ
98870	 మో
98923	 లా
98949	 పాటు
98975	్రియ
99452	క్కువ
99558	ందించ
99723	విత
99766	ారని
99957	మై
99961	తుల
100012	మంలో
100062	 విశ
100098	 ఇప్పటి
100438	 కొత్త
100688	నాలు
100963	 తీసుకు
101065	రె
101082	లం
101225	 అన
101243	దని
101506	ోంది
101736	గొ
101797	న్నా
102121	డంతో
102544	ారులు
102573	ంశ
102578	 పోలీ
102720	కరణ
102824	 పై
102907	 అర్
103266	 మాట్లా
103386	 ప్రత్య
103461	 రే
103499	 పెద్ద
103864	 కాల
103989	 ఇక
104525	 అస
104570	వారం
104608	 లేదు
104703	 తొ
104995	ప్‌
105054	తలు
105055	న్నీ
105217	 పరిశ
105264	క్కడ
105409	 చేసింది
105577	హిత
106006	లై
106493	తర
106524	టో
106558	ేక
106899	ర్గ
106975	కాశ
106976	 టి
107141	 సై
107143	 పూర్తి
107155	ొప్ప
107203	 కని
107209	 ముఖ్య
107243	 ప్రారం
107324	ించాడు
107603	ర్స్
107615	 అది
107934	 దూ
108024	 చెందిన
108091	 నిర్మా
108180	 బ్రి
108506	ాం
108556	 గో
108841	ాప
108889	లె
109045	్లా
109062	ర్మ
109320	నూ
109405	 బె
109604	రుణ
109631	స్క
109934	 ముందు
109954	 వచ్చే
110015	డ్‌
110279	న్ను
110374	దం
110494	 వ్యవ
110993	 స్థాయి
111349	 ఘ
111585	 రు
111751	 వంటి
111804	బాద్
111847	 మీద
112367	లంగాణ
112371	 తెలంగాణ
112464	ంపు
112708	ీల
113342	సారి
113397	స్ట్
113414	 యూ
113433	 నె
113510	 ప్రేక్ష
113586	డ్డ
113588	 ఇలా
113918	ిల్లా
113920	 మైసూరు
113994	 భాగ
114126	ృతి
114159	త్‌
114222	 గురించి
114264	దల
114265	ంచు
114339	 మరో
114405	 తప్ప
114460	 ఇప్పుడు
